City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,61.2,91,75,13.8,US,1702143534
1,matoury,4.8483,-52.3317,87.76,58,100,9.22,GF,1702143534
2,grytviken,-54.2811,-36.5092,35.01,88,53,13.31,GS,1702143534
3,longyearbyen,78.2186,15.6401,24.64,93,100,8.05,SJ,1702143367
4,waitangi,-43.9535,-176.5597,57.81,87,72,11.01,NZ,1702143535
5,port-aux-francais,-49.35,70.2167,38.25,78,73,25.9,TF,1702143470
6,san antonio de pale,-1.4014,5.6325,81.84,77,31,11.86,GQ,1702143535
7,magog,45.2668,-72.1491,38.23,87,100,5.75,CA,1702143395
8,puerto natales,-51.7236,-72.4875,57.65,51,75,24.16,CL,1702143535
9,petropavlovsk-kamchatsky,53.0452,158.6483,23.45,76,75,18.99,RU,1702143535
10,shanhecun,44.7,127.2,3.76,90,7,6.85,CN,1702143535
11,flying fish cove,-10.4217,105.6791,76.68,88,75,8.05,CX,1702143535
12,les avirons,-21.2418,55.3394,77.09,78,0,9.22,RE,1702143535
13,statesboro,32.4488,-81.7832,76.8,54,0,6.91,US,1702143453
14,fale old settlement,-9.3852,-171.2468,83.82,76,85,9.51,TK,1702143535
15,kailua-kona,19.6406,-155.9956,72.59,80,0,4.61,US,1702143480
16,port elizabeth,-33.918,25.5701,60.1,88,20,6.91,ZA,1702143536
17,saipan,15.1355,145.701,81.3,83,40,12.66,MP,1702143536
18,kyabe,9.4515,18.9449,84.06,15,31,1.59,TD,1702143536
19,isafjordur,66.0755,-23.124,24.84,80,20,0.0,IS,1702143536
20,laguna,38.421,-121.4238,52.02,80,0,4.61,US,1702143536
21,bubaque,11.2833,-15.8333,83.12,62,93,11.27,GW,1702143536
22,invercargill,-46.4,168.35,47.71,76,57,8.72,NZ,1702143536
23,argostolion,38.1811,20.489,52.75,56,77,5.21,GR,1702143536
24,namsos,64.4662,11.4957,33.85,74,100,12.66,NO,1702143536
25,port saint john's,-31.6229,29.5448,69.22,90,100,13.42,ZA,1702143536
26,adamstown,-25.066,-130.1015,70.99,83,100,14.74,PN,1702143469
27,puerto ayora,-0.7393,-90.3518,87.76,89,48,5.99,EC,1702143537
28,edinburgh of the seven seas,-37.0676,-12.3116,58.53,87,100,15.86,SH,1702143537
29,ilulissat,69.2167,-51.1,14.02,73,75,5.75,GL,1702143287
30,manhattan,40.7834,-73.9662,57.81,74,20,6.91,US,1702143537
31,tolanaro,-25.0319,46.9987,75.27,88,75,6.91,MG,1702143537
32,ribeira grande,38.5167,-28.7,67.77,94,40,16.11,PT,1702143537
33,tiksi,71.6872,128.8694,-13.11,99,100,5.26,RU,1702143475
34,santa rosa,14.3122,121.1114,82.38,88,4,7.11,PH,1702143537
35,mirny,62.5353,113.9611,-20.07,95,100,8.88,RU,1702143537
36,avarua,-21.2078,-159.775,77.05,83,75,16.11,CK,1702143537
37,roses,42.262,3.1769,58.03,69,100,1.99,ES,1702143538
38,nieuw amsterdam,5.8833,-55.0833,88.14,76,52,9.86,SR,1702143538
39,argo,37.6333,22.7333,48.78,92,89,2.21,GR,1702143538
40,ust-nera,64.5667,143.2,-0.22,99,100,3.89,RU,1702143538
41,badger,64.8,-147.5333,-18.53,77,75,0.0,US,1702143329
42,la passe,45.5549,-0.8967,59.23,81,100,20.04,FR,1702143500
43,egersund,58.4513,5.9997,42.08,81,100,29.12,NO,1702143538
44,port augusta,-32.5,137.7667,65.48,67,100,9.46,AU,1702143538
45,howard springs,-12.497,131.047,75.11,98,92,4.5,AU,1702143538
46,stanley,54.868,-1.6985,46.27,91,100,4.74,GB,1702143538
47,imbituba,-28.24,-48.6703,75.85,58,59,8.72,BR,1702143245
48,ushuaia,-54.8,-68.3,56.86,47,75,9.22,AR,1702143539
49,afaahiti,-17.75,-149.2833,82.27,85,100,20.04,PF,1702143501
50,nampula,-15.1165,39.2666,85.95,51,40,14.97,MZ,1702143539
51,port blair,11.6667,92.75,78.84,100,40,2.3,IN,1702143539
52,jamestown,42.097,-79.2353,58.59,52,100,20.71,US,1702143476
53,aibak,36.2647,68.0155,43.79,59,0,2.62,AF,1702143539
54,klyuchi,52.2667,79.1667,-5.28,81,85,2.42,RU,1702143478
55,ugoofaaru,5.6667,73.0,83.46,79,74,10.42,MV,1702143539
56,constitucion,-35.3333,-72.4167,57.52,75,0,28.83,CL,1702143539
57,smirnykh,49.75,142.8333,16.39,81,31,15.86,RU,1702143539
58,richards bay,-28.783,32.0377,72.28,97,100,5.57,ZA,1702143539
59,kapa'a,22.0752,-159.319,70.12,86,100,0.0,US,1702143539
60,tevriz,57.509,72.4042,-13.09,100,100,3.15,RU,1702143540
61,saudarkrokur,65.7461,-19.6394,17.55,64,50,5.88,IS,1702143475
62,cotonou,6.3654,2.4183,85.98,74,20,10.36,BJ,1702143540
63,arraial do cabo,-22.9661,-42.0278,78.66,69,75,17.27,BR,1702143540
64,utrik,11.2278,169.8474,81.59,70,99,19.71,MH,1702143471
65,yellowknife,62.456,-114.3525,14.52,92,100,14.97,CA,1702143540
66,albany,42.6001,-73.9662,50.58,78,95,3.0,US,1702143465
67,anadyr,64.75,177.4833,-12.5,70,0,11.18,RU,1702143540
68,ust'-ordynskiy,52.805,104.7508,-23.67,100,19,2.62,RU,1702143540
69,kolda,12.8833,-14.95,95.31,31,0,6.91,SN,1702143540
70,olonkinbyen,70.9221,-8.7187,23.92,83,100,15.39,SJ,1702143540
71,west island,-12.1568,96.8225,80.58,83,75,13.8,CC,1702143474
72,nabire,-3.3667,135.4833,75.54,94,96,3.53,ID,1702143490
73,gornozavodsk,58.3758,58.3211,-32.93,100,18,1.48,RU,1702143541
74,marietta,33.9526,-84.5499,60.87,95,100,3.44,US,1702143083
75,margate,51.3813,1.3862,51.91,74,51,3.0,GB,1702143059
76,mawlaik,23.6333,94.4167,67.55,89,53,0.85,MM,1702143541
77,port alfred,-33.5906,26.891,57.18,96,100,3.67,ZA,1702143541
78,sao joao da barra,-21.6403,-41.0511,77.09,89,100,15.73,BR,1702143541
79,hawaiian paradise park,19.5933,-154.9731,70.03,83,40,6.91,US,1702143498
80,happy valley-goose bay,53.3168,-60.3315,26.91,50,0,11.5,CA,1702143541
81,qaqortoq,60.7167,-46.0333,26.83,72,95,8.86,GL,1702143542
82,ortona,42.3496,14.4039,49.39,85,94,4.0,IT,1702143156
83,whitehorse,60.7161,-135.0538,11.8,82,100,2.3,CA,1702143542
84,sparta,43.9441,-90.8129,39.36,68,100,11.5,US,1702143333
85,rabo de peixe,37.8,-25.5833,67.51,99,40,17.27,PT,1702143525
86,zapolyarnyy,69.4154,30.8136,4.28,89,48,13.89,RU,1702143542
87,college,64.8569,-147.8028,-18.45,74,0,0.0,US,1702143475
88,lihue,21.9789,-159.3672,69.39,86,100,0.0,US,1702143542
89,muli,2.9167,73.5667,83.12,75,99,10.76,MV,1702143543
90,lowestoft,52.4752,1.7516,50.45,79,96,27.16,GB,1702143543
91,macusani,-14.0833,-70.4333,46.44,76,100,4.03,PE,1702143543
92,kingston,17.997,-76.7936,85.15,73,75,26.46,JM,1702143359
93,lucapa,-8.4192,20.7447,66.33,97,81,3.42,AO,1702143543
94,ar rass,25.8694,43.4973,71.17,28,0,7.74,SA,1702143543
95,blackmans bay,-43.0167,147.3167,43.52,84,78,1.01,AU,1702143543
96,dashitou,43.3067,128.5114,3.34,86,67,8.08,CN,1702143543
97,atafu village,-8.5421,-172.5159,83.43,77,59,8.55,TK,1702143469
98,vorgashor,67.5833,63.95,-11.13,100,100,4.56,RU,1702143524
99,hasaki,35.7333,140.8333,45.0,60,100,6.22,JP,1702143544
100,hami,42.8,93.45,29.57,45,96,4.9,CN,1702143544
101,abashiri,44.0213,144.2697,36.23,65,36,21.03,JP,1702143544
102,chonchi,-42.6128,-73.8092,58.21,54,75,4.47,CL,1702143544
103,box elder,41.5005,-112.8764,25.54,68,12,4.61,US,1702143544
104,coquimbo,-29.9533,-71.3436,64.13,72,40,12.66,CL,1702143544
105,bilibino,68.0546,166.4372,3.31,97,100,1.16,RU,1702143545
106,fortuna,40.5982,-124.1573,41.34,100,0,6.91,US,1702143545
107,buka,40.8108,69.1986,31.75,66,35,3.33,UZ,1702143524
108,kerikeri,-35.2268,173.9474,51.91,90,58,4.03,NZ,1702143485
109,suva,-18.1416,178.4415,76.48,78,75,4.61,FJ,1702143545
110,papatowai,-46.5619,169.4708,49.19,66,58,17.58,NZ,1702143545
111,lebu,-37.6167,-73.65,55.44,76,0,27.83,CL,1702143545
112,francisco sa,-16.4758,-43.4883,96.94,20,85,10.47,BR,1702143545
113,la palma,33.8464,-118.0467,70.48,24,0,16.11,US,1702143545
114,rabigh,22.7986,39.0349,82.58,62,4,3.02,SA,1702143546
115,linxia chengguanzhen,35.6003,103.2064,31.82,53,66,4.74,CN,1702143546
116,kibale,0.8,31.0667,62.89,96,45,2.1,UG,1702143546
117,margaret river,-33.95,115.0667,55.89,63,0,18.75,AU,1702143546
118,novaya igirma,57.1334,103.9112,-24.48,100,89,1.25,RU,1702143546
